RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE,INTRST_LSR_ACT_RN1_VALUE,INTRST_LSR_ACT_RN2_VALUE,INTRST_LSR_ACT_RN3_VALUE,INTRST_LSR_ACT_RN4_VALUE,INTRST_LSR_ACT_RN5_VALUE
53322224,20240612,F,40대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,4,1,10.00000,0.00000,90.00000,0.00000,0.00000,요가-필라테스 직접 하기,해외여행,없음,없음,없음
53322483,20240612,F,60대,서울특별시,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,2,7,40.00000,0.00000,0.00000,50.00000,10.00000,반려동물 돌보기,산책-걷기,헬스-보디빌딩 직접 하기,없음,없음
53322536,20240612,F,40대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,건강 관리를 위해,1,6,20.00000,0.00000,20.00000,60.00000,0.00000,드라이브,걷기-속보-조깅 직접 하기,생활공예-원예,없음,없음
53322638,20240612,M,40대,경기도,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,1,4,30.00000,0.00000,30.00000,0.00000,40.00000,낮잠자기,게임,음악-라디오 감상,국내 여행,캠핑-차박
53322777,20240612,F,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,5,70.00000,5.00000,15.00000,10.00000,0.00000,요리-베이킹,요가-필라테스 직접 하기,걷기-속보-조깅 직접 하기,없음,없음
53322973,20240612,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해,5,10,50.00000,20.00000,0.00000,30.00000,0.00000,국내 프로스포츠 현장 관람,영화관 관람,국내 여행,드라이브,없음
53323090,20240612,F,60대,세종특별자치시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,5,4,20.00000,80.00000,0.00000,0.00000,0.00000,국내 여행,소풍-피크닉,계모임-동창회-사교모임,친구-이성친구 만남,가족-친지 만남
53323091,20240612,F,50대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,4,5,80.00000,0.00000,0.00000,0.00000,20.00000,국내 여행,산책-걷기,없음,없음,없음
53323510,20240612,F,40대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,3,6,70.00000,10.00000,10.00000,10.00000,0.00000,영상 컨텐츠 시청,국내 프로스포츠 영상 시청,해외 프로스포츠 영상 시청,없음,없음
53323528,20240612,M,20대,서울특별시,700만원 이상,스트레스 해소를 위해,건강 관리를 위해,2,10,70.00000,0.00000,20.00000,10.00000,0.00000,낮잠자기,만화책 보기,SNS -인터넷 커뮤니티 활동,없음,없음
53323605,20240612,F,30대,서울특별시,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,4,50.00000,20.00000,0.00000,30.00000,0.00000,음주-유흥,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,친구-이성친구 만남,반려동물 돌보기
53323640,20240612,F,20대,서울특별시,무응답,남는 시간을 보내기 위해,마음의 안정-휴식을 위해,2,2,90.00000,0.00000,0.00000,10.00000,0.00000,낮잠자기,쇼핑,맛집-카페 탐방,없음,없음
