,20대,30대,40대,50대,60대
전국,"6,181,043","6,547,026","7,871,366","8,630,322","7,585,955"
서울특별시,"1,350,822","1,419,153","1,406,016","1,476,224","1,301,333"
부산광역시,"376,716","389,098","481,534","537,918","557,851"
대구광역시,"281,916","278,986","354,272","418,120","364,425"
인천광역시,"362,935","410,863","477,344","511,852","438,663"
광주광역시,"190,483","173,371","226,190","239,453","184,047"
대전광역시,"198,812","187,192","218,887","241,771","201,181"
울산광역시,"122,298","136,439","177,176","203,819","168,743"
세종특별자치시,"37,758","59,240","76,961","54,256","37,106"
경기도,"1,677,623","1,871,078","2,243,227","2,318,045","1,819,701"
강원도,"163,201","157,997","207,692","260,923","274,254"
충청북도,"181,330","187,136","229,545","271,144","257,216"
충청남도,"225,170","250,194","322,451","348,173","323,902"
전라북도,"190,387","172,410","243,945","299,487","283,963"
전라남도,"177,840","169,028","239,871","309,036","304,757"
경상북도,"247,746","258,107","355,520","442,662","448,137"
경상남도,"322,143","348,910","502,738","580,017","527,532"
제주특별자치도,"73,863","77,824","107,997","117,422","93,144"
