,성별,연령대,가구소득정도,사용목적1순위값,사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,휴식오락사용비율,취미사용비율,본인계발사용비율,대인관계교제사용비율,기타사용비율,관심레저활동1순위값,계절,위도,경도,또래인구수
0,1,1,2,6,0,2,3,30.0,40.0,20.0,10.0,0.0,12,3,37.5665,126.978,1419153
1,0,2,4,4,5,1,3,0.0,0.0,50.0,50.0,0.0,61,3,37.5665,126.978,1406016
2,0,3,3,0,4,10,12,80.0,0.0,0.0,20.0,0.0,52,3,37.5665,126.978,1476224
3,1,2,4,0,5,1,5,40.0,20.0,20.0,20.0,0.0,44,3,37.5665,126.978,1406016
4,0,4,4,4,3,10,10,70.0,10.0,10.0,5.0,5.0,52,3,33.4996,126.5312,93144
5,0,3,1,8,1,1,1,0.0,0.0,50.0,50.0,0.0,66,3,37.5665,126.978,1476224
6,1,4,2,8,5,5,15,100.0,0.0,0.0,0.0,0.0,58,3,37.5665,126.978,1301333
7,0,4,1,5,0,2,6,20.0,0.0,60.0,20.0,0.0,77,3,37.5665,126.978,1301333
8,0,2,2,0,5,2,3,10.0,10.0,50.0,30.0,0.0,49,3,37.5665,126.978,1406016
9,0,4,1,1,7,8,8,20.0,30.0,20.0,30.0,0.0,48,3,37.5665,126.978,1301333
10,0,4,4,5,1,2,2,10.0,10.0,50.0,30.0,0.0,49,3,37.5665,126.978,1301333
11,1,4,1,0,4,2,5,50.0,30.0,0.0,20.0,0.0,15,3,37.5665,126.978,1301333
12,1,0,3,6,5,3,8,50.0,0.0,0.0,50.0,0.0,61,3,37.5665,126.978,1350822
13,0,4,4,1,9,5,2,60.0,40.0,0.0,0.0,0.0,49,3,37.5665,126.978,1301333
14,1,4,2,1,5,1,4,30.0,70.0,0.0,0.0,0.0,31,3,37.5665,126.978,1301333
15,1,3,4,5,4,3,16,80.0,0.0,0.0,20.0,0.0,62,3,37.5665,126.978,1476224
16,1,3,2,1,5,1,2,40.0,50.0,0.0,10.0,0.0,61,3,37.5665,126.978,1476224
17,0,1,2,6,9,2,4,20.0,10.0,5.0,65.0,0.0,75,3,37.5665,126.978,1419153
18,0,1,2,5,9,3,5,40.0,0.0,10.0,50.0,0.0,75,3,35.1796,129.0756,389098
19,1,2,1,1,0,3,6,10.0,40.0,20.0,30.0,0.0,84,3,37.5665,126.978,1406016
20,1,4,1,8,1,2,4,0.0,30.0,40.0,30.0,0.0,59,3,37.5665,126.978,1301333
21,0,4,1,1,5,2,6,5.0,20.0,30.0,40.0,5.0,49,3,37.5665,126.978,1301333
22,0,4,3,0,4,2,2,20.0,30.0,10.0,20.0,20.0,53,3,37.5665,126.978,1301333
23,0,2,2,0,5,3,6,50.0,0.0,10.0,40.0,0.0,49,3,37.4138,127.5183,2243227
24,0,0,2,6,1,1,0,0.0,100.0,0.0,0.0,0.0,66,3,37.4138,127.5183,1677623
25,1,2,2,6,5,2,5,30.0,40.0,10.0,20.0,0.0,84,3,33.4996,126.5312,107997
26,0,3,2,6,5,1,4,30.0,0.0,20.0,50.0,0.0,52,3,35.1796,129.0756,537918
