,userId,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
0,53322222,골프 직접 하기,국내 프로스포츠 영상 시청,산책-걷기,종교활동,국내 프로스포츠 현장 관람
1,53322236,영상 컨텐츠 시청,수다-잡담하기,쇼핑,독서,없음
2,53322268,쇼핑,영상 컨텐츠 시청,국내 여행,계모임-동창회-사교모임,산책-걷기
3,53322911,보드게임-퍼즐-바둑-장기-체스 등,가족-친지 만남,산책-걷기,맛집-카페 탐방,게임
4,53322912,쇼핑,수다-잡담하기,온천-사우나-찜질방,산책-걷기,계모임-동창회-사교모임
5,53322914,요리-베이킹,없음,없음,없음,없음
6,53322930,액티비티-체험,없음,없음,없음,없음
7,53322984,축제 참가,줄넘기-맨손체조-스트레칭 직접 하기,없음,없음,없음
8,53323104,산책-걷기,음악-라디오 감상,없음,없음,없음
9,53323105,사회봉사활동,가족-친지 만남,걷기-속보-조깅 직접 하기,헬스-보디빌딩 직접 하기,계모임-동창회-사교모임
10,53323255,산책-걷기,걷기-속보-조깅 직접 하기,수다-잡담하기,가족-친지 만남,신문-잡지보기
11,53323332,국내 여행,없음,없음,없음,없음
12,53323649,영상 컨텐츠 시청,음악-라디오 감상,친구-이성친구 만남,맛집-카페 탐방,쇼핑
13,53323746,산책-걷기,사진 촬영,영상 컨텐츠 시청,쇼핑,헬스-보디빌딩 직접 하기
14,53323783,등산 직접 하기,걷기-속보-조깅 직접 하기,없음,없음,없음
15,53324262,영상 컨텐츠 제작,맛집-카페 탐방,계모임-동창회-사교모임,걷기-속보-조깅 직접 하기,수다-잡담하기
16,53324298,영상 컨텐츠 시청,줄넘기-맨손체조-스트레칭 직접 하기,걷기-속보-조깅 직접 하기,SNS -인터넷 커뮤니티 활동,쇼핑
17,53324378,종교활동,영화관 관람,게임,드라이브,해외여행
18,53324870,종교활동,수다-잡담하기,요리-베이킹,반려동물 돌보기,없음
19,53325006,헬스-보디빌딩 직접 하기,산책-걷기,게임,온천-사우나-찜질방,요리-베이킹
20,53325079,어학-기술-자격증 취득,온천-사우나-찜질방,음주-유흥,맛집-카페 탐방,등산 직접 하기
21,53325107,산책-걷기,요리-베이킹,해외여행,국내 여행,영화관 관람
22,53325147,수다-잡담하기,낮잠자기,음악-라디오 감상,없음,없음
23,53325523,산책-걷기,독서,종교활동,쇼핑,국내 여행
24,53325868,요리-베이킹,없음,없음,없음,없음
25,53325888,헬스-보디빌딩 직접 하기,걷기-속보-조깅 직접 하기,드라이브,등산 직접 하기,국내 여행
26,53326358,쇼핑,국내 여행,산책-걷기,독서,친구-이성친구 만남
27,53326588,국내 여행,없음,없음,없음,없음
28,53326805,골프 직접 하기,쇼핑,해외여행,영상 컨텐츠 시청,맛집-카페 탐방
29,53326820,영상 컨텐츠 시청,영화관 관람,없음,없음,없음
30,53326857,수다-잡담하기,게임,가족-친지 만남,없음,없음
31,53326900,산책-걷기,등산 직접 하기,해외 프로스포츠 영상 시청,친구-이성친구 만남,낚시
32,53326903,친구-이성친구 만남,산책-걷기,낮잠자기,계모임-동창회-사교모임,맛집-카페 탐방
33,53326929,국내 프로스포츠 영상 시청,해외 프로스포츠 영상 시청,줄넘기-맨손체조-스트레칭 직접 하기,쇼핑,독서
34,53327036,친구-이성친구 만남,게임,어학-기술-자격증 취득,라켓스포츠 직접 하기,e스포츠 영상 시청
35,53327084,독서,수다-잡담하기,친구-이성친구 만남,산책-걷기,영상 컨텐츠 시청
36,53327211,게임,수영 직접 하기,기타 자기계발-자기관리,국내 프로스포츠 영상 시청,없음
37,53327433,영상 컨텐츠 시청,없음,없음,없음,없음
38,53327529,쇼핑,낮잠자기,맛집-카페 탐방,테마파크-시설 방문,영상 컨텐츠 시청
39,53327701,게임,드라이브,소풍-피크닉,가족-친지 만남,친구-이성친구 만남
40,53327705,캠핑-차박,가족-친지 만남,친구-이성친구 만남,없음,없음
41,53327711,영화관 관람,국내 여행,쇼핑,줄넘기-맨손체조-스트레칭 직접 하기,가족-친지 만남
42,53327919,미술관-전시관 관람,독서,산책-걷기,없음,없음
43,53327923,생활공예-원예,종교활동,미용,독서,영상 컨텐츠 시청
